[INFO  Sat 07 Sep 2024 10:12:57 PM MDT] ....nvim/lua/neo-tree/sources/filesystem/lib/fs_actions.lua:594: Renamed rofi-theme-selector.dd successfully
[INFO  Sat 07 Sep 2024 10:13:25 PM MDT] ....nvim/lua/neo-tree/sources/filesystem/lib/fs_actions.lua:594: Renamed avahi-discover.dd successfully
[INFO  Sat 07 Sep 2024 10:14:28 PM MDT] ....nvim/lua/neo-tree/sources/filesystem/lib/fs_actions.lua:513: Deleted directory  /home/reddz/gconf
[INFO  Sat 07 Sep 2024 10:14:29 PM MDT] ...o-tree.nvim/lua/neo-tree/sources/filesystem/commands.lua:245: Toggling hidden files: true
[INFO  Sat 07 Sep 2024 10:15:33 PM MDT] ....nvim/lua/neo-tree/sources/filesystem/lib/fs_actions.lua:594: Renamed rofi.dd successfully
[INFO  Sat 07 Sep 2024 11:25:16 PM MDT] ...o-tree.nvim/lua/neo-tree/sources/filesystem/commands.lua:245: Toggling hidden files: true
[INFO  Sat 07 Sep 2024 11:25:16 PM MDT] ...o-tree.nvim/lua/neo-tree/sources/filesystem/commands.lua:245: Toggling hidden files: false
[INFO  Sat 07 Sep 2024 11:25:17 PM MDT] ...o-tree.nvim/lua/neo-tree/sources/filesystem/commands.lua:245: Toggling hidden files: true
[INFO  Sun 06 Oct 2024 12:29:25 PM MDT] ....nvim/lua/neo-tree/sources/filesystem/lib/fs_actions.lua:594: Renamed torbrowser-settings.desktop.dd successfully
[INFO  Wed 16 Oct 2024 01:11:11 AM MDT] ....nvim/lua/neo-tree/sources/filesystem/lib/fs_actions.lua:594: Renamed fidget.lua successfully
[INFO  Wed 16 Oct 2024 01:32:36 AM MDT] ...ree.nvim/lua/neo-tree/sources/filesystem/lib/fs_scan.lua:110: No items, skipping git ignored/status lookups
[INFO  Wed 16 Oct 2024 01:54:16 AM MDT] ...ree.nvim/lua/neo-tree/sources/filesystem/lib/fs_scan.lua:110: No items, skipping git ignored/status lookups
[INFO  Wed 16 Oct 2024 01:54:16 AM MDT] ...ree.nvim/lua/neo-tree/sources/filesystem/lib/fs_scan.lua:110: No items, skipping git ignored/status lookups
[INFO  Wed 16 Oct 2024 01:54:17 AM MDT] ...ree.nvim/lua/neo-tree/sources/filesystem/lib/fs_scan.lua:110: No items, skipping git ignored/status lookups
[INFO  Sun 27 Oct 2024 05:21:53 PM MDT] ....nvim/lua/neo-tree/sources/filesystem/lib/fs_actions.lua:594: Renamed local.lua successfully
[INFO  Sun 03 Nov 2024 01:56:05 PM MST] ....nvim/lua/neo-tree/sources/filesystem/lib/fs_actions.lua:594: Renamed jetbrains-mono.scss successfully
[ERROR Sun 03 Nov 2024 02:33:00 PM MST] ...hare/nvim/lazy/neo-tree.nvim/lua/neo-tree/utils/init.lua:761: Error opening file: vim/_editor.lua:0: nvim_exec2()..BufReadPost Autocommands for "*": Vim(append):Error executing lua callback: /usr/share/nvim/runtime/filetype.lua:35: Error executing lua: /usr/share/nvim/runtime/filetype.lua:36: nvim_exec2()..BufReadPost Autocommands for "*"..FileType Autocommands for "javascript": Vim(append):Error executing lua callback: ...share/nvim/lazy/nvim-lspconfig/lua/lspconfig/manager.lua:269: ENOENT: no such file or directory
stack traceback:
	[C]: in function 'assert'
	...share/nvim/lazy/nvim-lspconfig/lua/lspconfig/manager.lua:269: in function 'try_add'
	...share/nvim/lazy/nvim-lspconfig/lua/lspconfig/configs.lua:108: in function <...share/nvim/lazy/nvim-lspconfig/lua/lspconfig/configs.lua:107>
	[C]: in function 'nvim_cmd'
	/usr/share/nvim/runtime/filetype.lua:36: in function </usr/share/nvim/runtime/filetype.lua:35>
	[C]: in function 'nvim_buf_call'
	/usr/share/nvim/runtime/filetype.lua:35: in function </usr/share/nvim/runtime/filetype.lua:10>
	[C]: in function 'nvim_exec2'
	vim/_editor.lua: in function <vim/_editor.lua:0>
	[C]: in function 'pcall'
	...hare/nvim/lazy/neo-tree.nvim/lua/neo-tree/utils/init.lua:741: in function 'open_file'
	...y/neo-tree.nvim/lua/neo-tree/sources/common/commands.lua:733: in function 'open'
	...y/neo-tree.nvim/lua/neo-tree/sources/common/commands.lua:755: in function 'open_with_cmd'
	...y/neo-tree.nvim/lua/neo-tree/sources/common/commands.lua:764: in function 'open'
	...o-tree.nvim/lua/neo-tree/sources/filesystem/commands.lua:184: in function <...o-tree.nvim/lua/neo-tree/sources/filesystem/commands.lua:183>
stack traceback:
	[C]: in function 'nvim_cmd'
	/usr/share/nvim/runtime/filetype.lua:36: in function </usr/share/nvim/runtime/filetype.lua:35>
	[C]: in function 'nvim_buf_call'
	/usr/share/nvim/runtime/filetype.lua:35: in function </usr/share/nvim/runtime/filetype.lua:10>
	[C]: in function 'nvim_exec2'
	vim/_editor.lua: in function <vim/_editor.lua:0>
	[C]: in function 'pcall'
	...hare/nvim/lazy/neo-tree.nvim/lua/neo-tree/utils/init.lua:741: in function 'open_file'
	...y/neo-tree.nvim/lua/neo-tree/sources/common/commands.lua:733: in function 'open'
	...y/neo-tree.nvim/lua/neo-tree/sources/common/commands.lua:755: in function 'open_with_cmd'
	...y/neo-tree.nvim/lua/neo-tree/sources/common/commands.lua:764: in function 'open'
	...o-tree.nvim/lua/neo-tree/sources/filesystem/commands.lua:184: in function <...o-tree.nvim/lua/neo-tree/sources/filesystem/commands.lua:183>
stack traceback:
	[C]: in function 'nvim_buf_call'
	/usr/share/nvim/runtime/filetype.lua:35: in function </usr/share/nvim/runtime/filetype.lua:10>
	[C]: in function 'nvim_exec2'
	vim/_editor.lua: in function <vim/_editor.lua:0>
	[C]: in function 'pcall'
	...hare/nvim/lazy/neo-tree.nvim/lua/neo-tree/utils/init.lua:741: in function 'open_file'
	...y/neo-tree.nvim/lua/neo-tree/sources/common/commands.lua:733: in function 'open'
	...y/neo-tree.nvim/lua/neo-tree/sources/common/commands.lua:755: in function 'open_with_cmd'
	...y/neo-tree.nvim/lua/neo-tree/sources/common/commands.lua:764: in function 'open'
	...o-tree.nvim/lua/neo-tree/sources/filesystem/commands.lua:184: in function <...o-tree.nvim/lua/neo-tree/sources/filesystem/commands.lua:183>
[INFO  Mon 04 Nov 2024 11:12:22 PM MST] ...o-tree.nvim/lua/neo-tree/sources/filesystem/commands.lua:245: Toggling hidden files: true
